pair_id,format_id,left_content_id,right_content_id,left_views,right_views,label
train_1,why-is-it-that-the-laziest-people,7566394754288586015,7564821708813683976,23,836,0
train_2,wear-clothes-inspired-by-movies,7573338782632627478,7574599271614352648,6511330,528,1
train_3,chatgpt-invisible-watermarks,7541958175797398798,7572622784887540999,14175431,6928,1
train_4,looking-unbothered-while-thinking,7574597381161766174,7566321668071886110,1202,3806,0
train_5,go-study-forget-about-boys,7573019829427277063,7572311722317401366,41819,1172,1
train_6,applying-concealer-to-cover-my-problems,7571888212193414421,7545135000421797142,1142,6191800,0
train_7,living-at-home-while...,7542366416654110007,7564486439950470413,786158,728,1
train_8,how-it-feels-being-in-ap,7552271996386561302,7554093169009380622,1358838,5919997,0
train_9,you-don't-wanna-study,7567100131405745428,7567223636252167438,267879,1316,1
train_10,we're-leaving-you-behind,7573756976002305287,7572523107307556117,161151,13902,1
train_11,when-i-walk-into-a-haunted-house,7574601358326680854,7562682332230978871,991,2738984,0
train_12,looking-unbothered-while-thinking,7572200627002985759,7574712358501649678,12600,322,1
train_13,too-tired-to-study-but-can't-sleep,7558127111567871287,7546781809187491086,247989,668549,0
train_14,we-don't-pray-for-love,7547380433013542149,7568848279237184790,43591,35885,1
train_15,quitter-spotify-pour-revenir-aux-ipod,7521094128285830430,7573860712343244062,724520,1017,1
train_16,war-isn't-over,7566058386052238623,7565764146344578317,6141,515,1
train_17,me-cuz-i-started-working-at-14,7567735631246298382,7572389506385497352,809548,142,1
train_18,top-5-funny-edits,7564194454110833975,7559971105432161567,1195240,6861702,0
train_19,the-person-who-sent-you-this,7570091927199141134,7567820230014160150,275709,562785,0
train_20,pov-you-just-lost-nnn,7567844185957518614,7567188338684251423,695808,888190,0
train_21,asking-my-tolan-to-count,7539108968858275088,7541134744889789751,342893,31984354,0
train_22,when-you're-so-cooked-during-test,7564419168729058615,7515549359870577976,121168,1511279,0
train_23,steady-callin'-my-phone,7574288587429121335,7549680777630453024,700,7583254,0
train_24,minutes-into-nnn-i-already-failed,7570746988757601558,7567827412612861206,154371,6890010,0
train_25,no-one-talks-about-x,7573890930961337614,7566034316367613214,285633,417,1
train_26,when-adam-was-lonely,7574419936047680823,7525759496006716703,96,371852,0
train_27,nnn-has-officially-started,7567136447417896206,7568375055810448656,1972724,137219,1
train_28,how-i-look-when,7568061260089019670,7571522008102505739,3008338,971,1
train_29,at-the-pregame-then-i-get,7574170818704461111,7574711128534699272,1257,684,1
train_30,when-you're-reading-and-dad-walks-in,7570885591517154582,7571646360932371725,502132,810,1
train_31,we-don't-pray-for-love,7547380433013542149,7565451005765225750,43591,21945,1
train_32,dapat-nakakatakot-costume,7567441258705177864,7567600006673517845,1434441,678134,1
train_33,asking-my-tolan-to-count,7541092543728012566,7541134744889789751,507655,31984354,0
train_34,this-year-feel-different,7567524418323320077,7568227457636109590,1132,712192,0
train_35,war-isn't-over,7572180213157612818,7564123982744603912,1005,560,1
train_36,go-study-forget-about-boys,7572699390670818593,7572311722317401366,824,1172,0
train_37,i-love-gen-z-because-wdym,7556290425003265293,7572241667713944845,203229,1125,1
train_38,help-me-pick-an-outfit,7568800978074406166,7571778634705423629,104804,1627,1
train_39,college-is-easier-than-highschool,7570460449762856206,7564320614782143775,19027,3420,1
train_40,when-friends-reach-flow-state,7573097894304025886,7572732752710192391,6786678,465092,1
train_41,mikirin-apasih,7574443424498126088,7572942775981837586,426,1303,0
train_42,u-think-u-can-hurt-me,7564611973195861278,7565203654785895735,6355,1049,1
train_43,waiting-to-run-its-chart,7574131163640401183,7569208914642914563,211,2548618,0
train_44,me-cuz-i-started-working-at-14,7567735631246298382,7529371304500219154,809548,780440,1
